date       ,state   ,district ,pincode ,bio_age_5_17 ,bio_age_17_
22-07-2025 ,Haryana ,Hisar    , 125039 ,          43 ,         20
22-07-2025 ,Haryana ,Hisar    , 125050 ,           1 ,          1
22-07-2025 ,Haryana ,Hisar    , 125052 ,          44 ,         18
20-07-2025 ,Haryana ,Hisar    , 125049 ,           0 ,          1
23-07-2025 ,Haryana ,Hisar    , 125038 ,           1 ,          4
23-07-2025 ,Haryana ,Hisar    , 125049 ,           2 ,          3
23-07-2025 ,Haryana ,Hisar    , 125052 ,          27 ,         14
02-08-2025 ,Haryana ,Hisar    , 125038 ,           3 ,          1
02-08-2025 ,Haryana ,Hisar    , 125039 ,           2 ,          4
02-08-2025 ,Haryana ,Hisar    , 125048 ,           2 ,          0
29-07-2025 ,Haryana ,Hisar    , 125006 ,           6 ,          5
29-07-2025 ,Haryana ,Hisar    , 125037 ,           4 ,          3
29-07-2025 ,Haryana ,Hisar    , 125047 ,          20 ,          9
29-07-2025 ,Haryana ,Hisar    , 125048 ,           0 ,          1
29-09-2025 ,Haryana ,Hisar    , 125042 ,          10 ,         19
29-09-2025 ,Haryana ,Hisar    , 125050 ,           0 ,          3
25-10-2025 ,Haryana ,Hisar    , 125047 ,           5 ,          9
25-10-2025 ,Haryana ,Hisar    , 125052 ,          14 ,         19
25-10-2025 ,Haryana ,Hisar    , 125112 ,           0 ,          6
25-10-2025 ,Haryana ,Hisar    , 125113 ,           1 ,          5
24-10-2025 ,Haryana ,Hisar    , 125006 ,           6 ,          5
24-10-2025 ,Haryana ,Hisar    , 125033 ,          28 ,         84
07-11-2025 ,Haryana ,Hisar    , 125038 ,           2 ,          6
07-11-2025 ,Haryana ,Hisar    , 125044 ,          15 ,          6
06-11-2025 ,Haryana ,Hisar    , 125038 ,           3 ,          8
06-11-2025 ,Haryana ,Hisar    , 125044 ,           8 ,          8
06-11-2025 ,Haryana ,Hisar    , 125047 ,           4 ,         12
12-10-2025 ,Haryana ,Hisar    , 125044 ,           2 ,          3
13-10-2025 ,Haryana ,Hisar    , 125006 ,           5 ,          1
13-10-2025 ,Haryana ,Hisar    , 125037 ,           0 ,          7
13-10-2025 ,Haryana ,Hisar    , 125038 ,           6 ,          6
13-10-2025 ,Haryana ,Hisar    , 125044 ,           3 ,         15
16-10-2025 ,Haryana ,Hisar    , 125004 ,           4 ,          8
15-10-2025 ,Haryana ,Hisar    , 125001 ,          86 ,         84
15-10-2025 ,Haryana ,Hisar    , 125042 ,          10 ,         13
04-11-2025 ,Haryana ,Hisar    , 125006 ,           5 ,          0
04-11-2025 ,Haryana ,Hisar    , 125033 ,          45 ,         67
04-11-2025 ,Haryana ,Hisar    , 125044 ,          13 ,         19
04-11-2025 ,Haryana ,Hisar    , 125048 ,           0 ,          1
04-11-2025 ,Haryana ,Hisar    , 125112 ,           3 ,          7
09-11-2025 ,Haryana ,Hisar    , 125006 ,           0 ,          1
09-11-2025 ,Haryana ,Hisar    , 125033 ,           0 ,          1
09-11-2025 ,Haryana ,Hisar    , 125042 ,           1 ,          0
09-11-2025 ,Haryana ,Hisar    , 125113 ,           3 ,          1
10-11-2025 ,Haryana ,Hisar    , 125112 ,           6 ,          7
11-11-2025 ,Haryana ,Hisar    , 125037 ,           0 ,          1
11-11-2025 ,Haryana ,Hisar    , 125112 ,           4 ,          9
11-11-2025 ,Haryana ,Hisar    , 125121 ,          24 ,         47
12-11-2025 ,Haryana ,Hisar    , 125033 ,          85 ,         59
12-11-2025 ,Haryana ,Hisar    , 125049 ,           7 ,          6
12-11-2025 ,Haryana ,Hisar    , 125112 ,           7 ,          4
12-11-2025 ,Haryana ,Hisar    , 125113 ,           6 ,         24
12-11-2025 ,Haryana ,Hisar    , 125121 ,          25 ,         42
13-11-2025 ,Haryana ,Hisar    , 125033 ,          31 ,         48
13-11-2025 ,Haryana ,Hisar    , 125053 ,           1 ,          1
13-11-2025 ,Haryana ,Hisar    , 125113 ,          16 ,         12
30-09-2025 ,Haryana ,Hisar    , 125005 ,           7 ,          3
30-09-2025 ,Haryana ,Hisar    , 125048 ,           1 ,          4
02-10-2025 ,Haryana ,Hisar    , 125052 ,           1 ,          0
17-10-2025 ,Haryana ,Hisar    , 125004 ,           7 ,          7
17-10-2025 ,Haryana ,Hisar    , 125042 ,           2 ,         17
17-10-2025 ,Haryana ,Hisar    , 125047 ,           5 ,          6
17-10-2025 ,Haryana ,Hisar    , 125049 ,           4 ,          2
31-10-2025 ,Haryana ,Hisar    , 125033 ,          37 ,         62
