date,state,district,pincode,bio_age_5_17,bio_age_17_
10-11-2025,Sikkim,East Sikkim,737101,2,1
10-11-2025,Sikkim,East Sikkim,737107,1,1
14-11-2025,Sikkim,East Sikkim,737138,0,1
15-11-2025,Sikkim,East Sikkim,737131,1,0
17-11-2025,Sikkim,East Sikkim,737101,0,1
17-11-2025,Sikkim,East Sikkim,737102,1,0
17-11-2025,Sikkim,East Sikkim,737106,0,1
17-11-2025,Sikkim,East Sikkim,737107,1,0
29-09-2025,Sikkim,East Sikkim,737102,1,0
29-09-2025,Sikkim,East Sikkim,737103,1,0
17-10-2025,Sikkim,East Sikkim,737102,5,5
17-10-2025,Sikkim,East Sikkim,737135,1,1
16-10-2025,Sikkim,East Sikkim,737101,3,2
04-11-2025,Sikkim,East Sikkim,737103,3,2
04-11-2025,Sikkim,East Sikkim,737134,2,1
04-11-2025,Sikkim,East Sikkim,737135,1,0
06-11-2025,Sikkim,East Sikkim,737107,2,1
06-11-2025,Sikkim,East Sikkim,737138,1,0
19-11-2025,Sikkim,East Sikkim,737134,2,0
27-09-2025,Sikkim,East Sikkim,737103,1,0
13-10-2025,Sikkim,East Sikkim,737101,4,3
13-10-2025,Sikkim,East Sikkim,737107,1,0
05-11-2025,Sikkim,East Sikkim,737101,20,2
01-11-2025,Sikkim,East Sikkim,737101,1,1
13-11-2025,Sikkim,East Sikkim,737103,8,2
12-11-2025,Sikkim,East Sikkim,737102,9,0
09-12-2025,Sikkim,East Sikkim,737134,0,2
08-12-2025,Sikkim,East Sikkim,737133,2,0
08-12-2025,Sikkim,East Sikkim,737134,3,1
08-12-2025,Sikkim,East Sikkim,737135,3,1
10-12-2025,Sikkim,East Sikkim,737134,3,7
11-12-2025,Sikkim,East Sikkim,737101,2,3
11-12-2025,Sikkim,East Sikkim,737103,2,1
11-12-2025,Sikkim,East Sikkim,737107,1,0
04-10-2025,Sikkim,East Sikkim,737101,1,0
04-10-2025,Sikkim,East Sikkim,737132,0,1
07-10-2025,Sikkim,East Sikkim,737101,1,1
07-10-2025,Sikkim,East Sikkim,737131,1,0
07-10-2025,Sikkim,East Sikkim,737135,1,2
10-10-2025,Sikkim,East Sikkim,737131,4,0
10-10-2025,Sikkim,East Sikkim,737134,7,1
27-10-2025,Sikkim,East Sikkim,737101,2,0
27-10-2025,Sikkim,East Sikkim,737106,1,1
28-10-2025,Sikkim,East Sikkim,737101,2,2
28-10-2025,Sikkim,East Sikkim,737132,2,0
01-12-2025,Sikkim,East Sikkim,737102,2,3
02-12-2025,Sikkim,East Sikkim,737132,0,1
25-11-2025,Sikkim,East Sikkim,737102,3,1
25-11-2025,Sikkim,East Sikkim,737131,2,0
25-11-2025,Sikkim,East Sikkim,737132,0,1
21-11-2025,Sikkim,East Sikkim,737101,9,6
21-11-2025,Sikkim,East Sikkim,737102,12,1
21-11-2025,Sikkim,East Sikkim,737103,10,1
21-11-2025,Sikkim,East Sikkim,737131,1,2
21-11-2025,Sikkim,East Sikkim,737134,3,0
21-11-2025,Sikkim,East Sikkim,737135,2,1
24-11-2025,Sikkim,East Sikkim,737101,1,1
24-11-2025,Sikkim,East Sikkim,737103,5,0
24-11-2025,Sikkim,East Sikkim,737131,1,0
26-11-2025,Sikkim,East Sikkim,737102,1,1
26-11-2025,Sikkim,East Sikkim,737131,1,0
27-11-2025,Sikkim,East Sikkim,737131,1,0
27-11-2025,Sikkim,East Sikkim,737135,11,1
28-11-2025,Sikkim,East Sikkim,737135,3,1
29-11-2025,Sikkim,East Sikkim,737103,1,0
29-11-2025,Sikkim,East Sikkim,737135,0,1
17-12-2025,Sikkim,East Sikkim,737102,0,3
17-12-2025,Sikkim,East Sikkim,737103,3,0
13-12-2025,Sikkim,East Sikkim,737103,2,0
12-12-2025,Sikkim,East Sikkim,737103,0,2
16-12-2025,Sikkim,East Sikkim,737102,1,4
